q_no,lang,answer_number,gen_answer,revised_answer2,is_correct,is_correct2,is_correct_rev,is_correct_rev2,ec_1
3,id,70000,25.0,25000.0,False,False,False,False,Arithmetic Mistake
4,id,540,180.0,180.0,False,False,False,False,Missing Calculation
7,id,260,20.0,20.0,False,False,False,False,Missing Calculation
9,id,45,280.0,115.0,False,False,False,False,Hallucination
13,id,13,6.0,12.0,False,False,False,False,Arithmetic Mistake
21,id,15,13.0,14.0,False,False,False,False,Arithmetic Mistake
37,id,75,30.0,11250.0,False,False,False,False,Arithmetic Mistake
1,jv,18,26.0,24.0,False,False,False,False,Hallucination
6,jv,64,30.0,35.0,False,False,False,False,Arithmetic Mistake
7,jv,260,20.0,41.0,False,False,False,False,Arithmetic Mistake
8,jv,160,120.0,2.0,False,False,False,False,Arithmetic Mistake
9,jv,45,315.0,315.0,False,False,False,False,Arithmetic Mistake
11,jv,366,161.0,286.0,False,False,False,False,Hallucination
13,jv,13,12.0,12.0,False,False,False,False,Arithmetic Mistake
14,jv,18,1.0,5.0,False,False,False,False,Hallucination
15,jv,60,55.0,55.0,False,False,False,False,Arithmetic Mistake
19,jv,7,3.0,4.0,False,False,False,False,Arithmetic Mistake
21,jv,15,24.0,15.75,False,False,False,False,Arithmetic Mistake
22,jv,14,8.0,10.0,False,False,False,False,Hallucination
28,jv,16,60.0,0.0,False,False,False,False,Hallucination
30,jv,104,25.0,38.0,False,False,False,False,Arithmetic Mistake
39,jv,10,6.0,7.5,False,False,False,False,Arithmetic Mistake
41,jv,8,1.0,7.0,False,False,False,False,Hallucination
42,jv,200,0.0,0.0,False,False,False,False,Hallucination
46,jv,104,76.0,76.0,False,False,False,False,Missing Calculation
48,jv,800,260.0,260.0,False,False,False,False,Arithmetic Mistake
3,su,70000,150.0,65000.0,False,False,False,False,Arithmetic Mistake
8,su,160,2.0,120.0,False,False,False,False,Arithmetic Mistake
9,su,45,270.0,260.0,False,False,False,False,Hallucination
13,su,13,7.0,12.0,False,False,False,False,Hallucination
14,su,18,5.0,1.0,False,False,False,False,Hallucination
15,su,60,55.0,55.0,False,False,False,False,Hallucination
19,su,7,4.0,4.0,False,False,False,False,Arithmetic Mistake
20,su,6,4.0,4.0,False,False,False,False,Arithmetic Mistake
22,su,14,2.0,2.0,False,False,False,False,Arithmetic Mistake
30,su,104,61.0,18.0,False,False,False,False,Arithmetic Mistake
35,su,23,47.0,27.0,False,False,False,False,Hallucination
36,su,9,5.0,5.0,False,False,False,False,Arithmetic Mistake
37,su,75,30.0,7.0,False,False,False,False,Arithmetic Mistake
38,su,2,4.0,13.0,False,False,False,False,Arithmetic Mistake
39,su,10,2355.0,8.0,False,False,False,False,Arithmetic Mistake
40,su,18,20.0,4.0,False,False,False,False,Arithmetic Mistake
48,su,800,4.0,28.0,False,False,False,False,Arithmetic Mistake
